"","project_name","sys_sample_code","station","date_time","chemical_name","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","sample_date","order","station_type","flow_qual","flow_quant_cfs","load_kg_per_day"
"24","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","MAGNESIUM","7439-95-4","t",16200,"ug/l",110,"ug/l",1000,"","a","",2017-10-11,2,"special_study","event",NA,NA
"25","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","NICKEL","7440-02-0","t",2.6,"ug/l",0.45,"ug/l",1,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"26","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","NICKEL","7440-02-0","t",2,"ug/l",0.45,"ug/l",1,"","a","",2017-10-11,2,"special_study","event",NA,NA
"27","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",1.29,"mg/l",7e-04,"mg/l",0.002,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"28","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",0.893,"mg/l",7e-04,"mg/l",0.002,"","a","",2017-10-11,2,"special_study","event",NA,NA
"29","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0441,"mg/l",8e-04,"mg/l",0.005,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"30","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0894,"mg/l",8e-04,"mg/l",0.005,"","a","",2017-10-11,2,"special_study","event",NA,NA
"31","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",1.27,"mg/l",NA,"mg/l",0.01,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"32","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",0.872,"mg/l",NA,"mg/l",0.01,"","a","",2017-10-11,2,"special_study","event",NA,NA
"33","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","NITROGEN, NITRITE","14797-65-0","t",0.014,"mg/l",0.002,"mg/l",0.01,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"34","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","NITROGEN, NITRITE","14797-65-0","t",0.021,"mg/l",0.004,"mg/l",0.01,"","a","",2017-10-11,2,"special_study","event",NA,NA
"35","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","PH","ph","t",7.81,"ph units",NA,"ph units",NA,"h","a","",2017-09-19,2,"special_study","baseline",NA,NA
"36","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","PH","ph","t",7.6,"ph units",NA,"ph units",NA,"h","a","",2017-10-11,2,"special_study","event",NA,NA
"37","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.0489,"mg/l",0.002,"mg/l",0.003,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"38","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.066,"mg/l",0.002,"mg/l",0.003,"","a","",2017-10-11,2,"special_study","event",NA,NA
"39","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","SILVER","7440-22-4","t",NA,"ug/l",0.131,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-09-19,2,"special_study","baseline",NA,NA
"40","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","SILVER","7440-22-4","t",NA,"ug/l",0.131,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-10-11,2,"special_study","event",NA,NA
"41","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","TEMPERATURE OF PH ANALYSIS","temp","t",24.4,"deg c",NA,"deg c",NA,"h","a","",2017-09-19,2,"special_study","baseline",NA,NA
"42","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","TEMPERATURE OF PH ANALYSIS","temp","t",19.2,"deg c",NA,"deg c",NA,"h","a","",2017-10-11,2,"special_study","event",NA,NA
"43","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","tds","t",320,"mg/l",4,"mg/l",10,"","a","",2017-10-11,2,"special_study","event",NA,NA
"44","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","TURBIDITY","turb","t",13.3,"ntu",0.06,"ntu",0.1,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"45","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","TURBIDITY","turb","t",3.22,"ntu",0.06,"ntu",0.1,"","a","",2017-10-11,2,"special_study","event",NA,NA
"46","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","ZINC","7440-66-6","t",14.5,"ug/l",3,"ug/l",5,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"47","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","ZINC","7440-66-6","t",12.7,"ug/l",3,"ug/l",5,"","a","",2017-10-11,2,"special_study","event",NA,NA
"48","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",142,"mg/l",1,"mg/l",2,"","a","",2017-09-06,2,"special_study","event",NA,NA
"49","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","ALUMINUM","7429-90-5","t",363,"ug/l",26.9,"ug/l",100,"","a","",2017-09-06,2,"special_study","event",NA,NA
"50","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","ARSENIC","7440-38-2","t",1.2,"ug/l",0.389,"ug/l",1,"","a","",2017-09-06,2,"special_study","event",NA,NA
"51","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.182,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-09-06,2,"special_study","event",NA,NA
"52","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","CHLORIDE (AS CL)","16887-00-6","t",83.3,"mg/l",0.2,"mg/l",2,"","a","",2017-09-06,2,"special_study","event",NA,NA
"53","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","CHLOROPHYLL A","479-61-8","t",5.29,"ug/l",NA,"ug/l",0.21,"","a","",2017-09-06,2,"special_study","event",NA,NA
"54","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","CONDUCTIVITY AT 25 DEGREES CELSIUS","cond","t",613,"umhos/cm",NA,"umhos/cm",NA,"","a","",2017-09-06,2,"special_study","event",NA,NA
"55","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","COPPER","7440-50-8","t",2.8,"ug/l",0.652,"ug/l",1,"","a","",2017-09-06,2,"special_study","event",NA,NA
"56","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","HARDNESS (AS CACO3)","hard","t",188,"mg/l",0.5,"mg/l",13,"","a","",2017-09-06,2,"special_study","event",NA,NA
"57","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","IRON","7439-89-6","t",911,"ug/l",55.4,"ug/l",100,"","a","",2017-09-06,2,"special_study","event",NA,NA
"58","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","LEAD","7439-92-1","t",1.1,"ug/l",0.405,"ug/l",1,"","a","",2017-09-06,2,"special_study","event",NA,NA
"59","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","MAGNESIUM","7439-95-4","t",15000,"ug/l",110,"ug/l",1000,"","a","",2017-09-06,2,"special_study","event",NA,NA
"60","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","NICKEL","7440-02-0","t",2.9,"ug/l",0.45,"ug/l",1,"","a","",2017-09-06,2,"special_study","event",NA,NA
"61","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",0.665,"mg/l",7e-04,"mg/l",0.002,"","a","",2017-09-06,2,"special_study","event",NA,NA
"62","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0494,"mg/l",8e-04,"mg/l",0.005,"","a","",2017-09-06,2,"special_study","event",NA,NA
"63","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",0.665,"mg/l",NA,"mg/l",0.01,"","a","",2017-09-06,2,"special_study","event",NA,NA
"64","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","NITROGEN, NITRITE","14797-65-0","t",NA,"mg/l",0.002,"mg/l",0.01,"u","u","analyte was analyzed for but not detected",2017-09-06,2,"special_study","event",NA,NA
"65","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","PH","ph","t",7.81,"ph units",NA,"ph units",NA,"h","a","",2017-09-06,2,"special_study","event",NA,NA
"66","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.0613,"mg/l",0.002,"mg/l",0.003,"","a","",2017-09-06,2,"special_study","event",NA,NA
"67","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","SILVER","7440-22-4","t",NA,"ug/l",0.131,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-09-06,2,"special_study","event",NA,NA
"68","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","TEMPERATURE OF PH ANALYSIS","temp","t",19.4,"deg c",NA,"deg c",NA,"h","a","",2017-09-06,2,"special_study","event",NA,NA
"69","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","tds","t",304,"mg/l",4,"mg/l",10,"","a","",2017-09-06,2,"special_study","event",NA,NA
"70","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","TURBIDITY","turb","t",18,"ntu",0.06,"ntu",0.1,"","a","",2017-09-06,2,"special_study","event",NA,NA
"71","wallkill special study 2017","13walk-60.1","13-walk-60.1","2017-09-06 10:15:00","ZINC","7440-66-6","t",15.9,"ug/l",3,"ug/l",5,"","a","",2017-09-06,2,"special_study","event",NA,NA
"72","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",138,"mg/l",1,"mg/l",2,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"73","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","ALUMINUM","7429-90-5","t",796,"ug/l",80.1,"ug/l",100,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"74","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","ARSENIC","7440-38-2","t",1.5,"ug/l",0.389,"ug/l",1,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"75","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.182,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-07-19,2,"special_study","baseline",NA,NA
"76","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","CHLOROPHYLL A","479-61-8","t",3.55,"ug/l",NA,"ug/l",0.11,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"77","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","CONDUCTIVITY AT 25 DEGREES CELSIUS","cond","t",562,"umhos/cm",NA,"umhos/cm",NA,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"78","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","COPPER","7440-50-8","t",3,"ug/l",0.652,"ug/l",1,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"79","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","HARDNESS (AS CACO3)","hard","t",207,"mg/l",0.5,"mg/l",13,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"80","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","IRON","7439-89-6","t",1760,"ug/l",55.4,"ug/l",100,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"81","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","LEAD","7439-92-1","t",1.9,"ug/l",0.405,"ug/l",1,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"82","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","MAGNESIUM","7439-95-4","t",14300,"ug/l",110,"ug/l",1000,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"83","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","NICKEL","7440-02-0","t",3.3,"ug/l",0.45,"ug/l",1,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"84","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",0.673,"mg/l",0.0025,"mg/l",0.0025,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"85","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0788,"mg/l",8e-04,"mg/l",0.005,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"86","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",0.661,"mg/l",NA,"mg/l",0.01,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"87","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","NITROGEN, NITRITE","14797-65-0","t",0.012,"mg/l",0.002,"mg/l",0.01,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"88","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","PH","ph","t",7.7,"ph units",NA,"ph units",NA,"h","a","",2017-07-19,2,"special_study","baseline",NA,NA
"89","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.0945,"mg/l",0.002,"mg/l",0.003,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"90","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","SILVER","7440-22-4","t",NA,"ug/l",0.131,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-07-19,2,"special_study","baseline",NA,NA
"91","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","TEMPERATURE OF PH ANALYSIS","temp","t",21.3,"deg c",NA,"deg c",NA,"h","a","",2017-07-19,2,"special_study","baseline",NA,NA
"92","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","tds","t",297,"mg/l",4,"mg/l",10,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"93","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","TURBIDITY","turb","t",34.3,"ntu",0.06,"ntu",0.1,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"94","wallkill special study 2017","13walk-60.1_07192017_ws","13-walk-60.1","2017-07-19 10:10:00","ZINC","7440-66-6","t",27.7,"ug/l",3,"ug/l",5,"","a","",2017-07-19,2,"special_study","baseline",NA,NA
"95","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",152,"mg/l",1,"mg/l",2,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"96","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","ALUMINUM","7429-90-5","t",512,"ug/l",26.9,"ug/l",100,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"97","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","ARSENIC","7440-38-2","t",1.4,"ug/l",0.389,"ug/l",1,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"98","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.182,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-08-01,2,"special_study","baseline",NA,NA
"99","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","CHLORIDE (AS CL)","16887-00-6","t",84,"mg/l",0.2,"mg/l",2,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"100","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","CHLOROPHYLL A","479-61-8","t",12.6,"ug/l",NA,"ug/l",0.64,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"101","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","CONDUCTIVITY AT 25 DEGREES CELSIUS","cond","t",628,"umhos/cm",NA,"umhos/cm",NA,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"102","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","COPPER","7440-50-8","t",2.4,"ug/l",0.652,"ug/l",1,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"103","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","HARDNESS (AS CACO3)","hard","t",193,"mg/l",0.5,"mg/l",13,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"104","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","IRON","7439-89-6","t",1110,"ug/l",55.4,"ug/l",100,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"105","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","LEAD","7439-92-1","t",1.3,"ug/l",0.405,"ug/l",1,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"106","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","MAGNESIUM","7439-95-4","t",16400,"ug/l",110,"ug/l",1000,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"107","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","NICKEL","7440-02-0","t",2.7,"ug/l",0.45,"ug/l",1,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"108","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","NITRATE+NITRITE AS NITROGEN","no3no2n","t",1,"mg/l",7e-04,"mg/l",0.002,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"109","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","NITROGEN, AMMONIA (AS N)","7664-41-7","t",0.0636,"mg/l",8e-04,"mg/l",0.005,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"110","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","NITROGEN, NITRATE (AS N)","14797-55-8","t",1,"mg/l",NA,"mg/l",0.01,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"111","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","NITROGEN, NITRITE","14797-65-0","t",NA,"mg/l",0.002,"mg/l",0.01,"u","u","analyte was analyzed for but not detected",2017-08-01,2,"special_study","baseline",NA,NA
"112","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","PH","ph","t",7.78,"ph units",NA,"ph units",NA,"h","a","",2017-08-01,2,"special_study","baseline",NA,NA
"113","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","PHOSPHORUS, TOTAL (AS P)","7723-14-0","t",0.0779,"mg/l",0.002,"mg/l",0.003,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
"114","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","SILVER","7440-22-4","t",NA,"ug/l",0.131,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-08-01,2,"special_study","baseline",NA,NA
"115","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","TEMPERATURE OF PH ANALYSIS","temp","t",20.8,"deg c",NA,"deg c",NA,"h","a","",2017-08-01,2,"special_study","baseline",NA,NA
"116","wallkill special study 2017","13walk-60.1_08012017_ws","13-walk-60.1","2017-08-01 09:45:00","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","tds","t",319,"mg/l",4,"mg/l",10,"","a","",2017-08-01,2,"special_study","baseline",NA,NA
