"NEW_SITE","UPDATE_SITE","SITE_LOC_ID","BASIN","LOCATION","RIVMILE","FIELD_LAT","FIELD_LON","BASIN_NEW","LOCATION_NEW","DESCRIPT","COLL_DATE","ARRIVETIME","COLL_DATE_TIME","CREW","PROJECT","INFO_TYPE","habLab_ID_num","BLOOM_DESC","BLOOM_DESC_2","R_HABLAB_ID","S_HABLAB_ID","CURRENT_WEATHER","PAST_WEATHER","WATER_CHEM","qa_qc_type","SAMP_LOC","EQUIP_USED","TOX","TEMP","COND","PH","DO","PERCENT_SAT","SALINITY","PRIM_CONTACT","SEC_CONTACT","WATER_CLARITY","SUSP_PHYTOPLANKTON","PERIPHYTON","MACROPHYTE","ODOR","TRASH","DISCHARGE_PIPES","PRIM_VARIABLE","SEC_VARIABLE","NOTES","x","y"
"N","N","13-GUNK-37.7","B_13","GUNK","R_37.7",41.441342,-74.529772,NA,"","","10/3/2018","0.513888889","10/3/2018 12:20","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",16.6,174.4,7.84,8.8,92,0.08,"D","B",7,2,3,2,1,2,0,"Other","Suspended_Phytoplankton","Lots of foam build up",-74.529772,41.441342
"N","N","13-GUNK-37.7","B_13","GUNK","R_37.7",41.441342,-74.529772,NA,"","","9/5/2018","12:17","9/5/2018 12:17","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",26.7,308.2,7.67,3.6,46,0.15,"D","B",3,1,3,0,1,0,0,"Water_Clarity","","Some duck weed floating. Water coming in off the dam but no flow registered. ",-74.529772,41.441342
"N","N","13-GUNK-37.7","B_13","GUNK","R_37.7",41.44134,-74.5298,NA,"","","8/16/2018","11:00","8/16/2018 11:00","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",23.9,222.6,7.6,7,86,0.1,"D","D",4,3,4,1,1,1,1,"Suspended_Phytoplankton","Odor","Duck weed, foam, weep holes in bridge",-74.5298,41.44134
"N","N","13-GUNK-37.7","B_13","GUNK","R_37.7",41.441342,-74.529772,NA,"","","7/25/2018","12:45 PM","7/25/2018 12:45","Emily Vail, Megan Lung","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",24.5,384.2,8.1,6.7,83,NA,"E","C",8,4,0,0,3,0,0,"Water_Clarity","Other","water flowing over the dam, duckweed, dead fish, foam upstream and scum downstream. Secondary Variable influencing user perception foam, scum.",-74.529772,41.441342
"N","N","13-GUNK-37.7","B_13","GUNK","R_37.7",41.441342,-74.529772,NA,"","","7/11/2018","11:48 AM","7/11/2018 11:48","Emily Vail & Alex Curtze","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",22.8,1197,7.58,0.4,5,0.69,"C","D",10,10,8,8,4,0,0,"Suspended_Phytoplankton","Water_Clarity","Very smelly, no water coming downstream of Mill Pond Dam. Took depth profile but no flow measurements (no flow).",-74.529772,41.441342
"N","N","13-GUNK-0.4","B_13","GUNK","R_0.4",41.68722,-74.17278,NA,"","","10/2/2018","0.56875","10/2/2018 13:39","Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",15.6,189.9,8.2,9.6,97,0.09,"F","A",3,0,3,2,0,0,0,"Other","","High flow",-74.17278,41.68722
"N","N","13-GUNK-0.4","B_13","GUNK","R_0.4",41.68722,-74.17278,NA,"","","9/6/2018","13:29","9/6/2018 13:29","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",28.4,330,8.39,11.4,148,0.16,"B","A",1,1,1,5,7,0,0,"Macrophyte","","Talked to landowner. They see turtles nesting. 2 green herons. Some algae scum caught on branches. ",-74.17278,41.68722
"N","N","13-GUNK-0.4","B_13","GUNK","R_0.4",41.68722,-74.17278,NA,"","","8/15/2018","14:39:00","8/15/2018 14:39","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",22.9,189.3,7.82,9,105,0.09,"C","B",7,0,4,2,0,0,0,"Water_Clarity","","High water, too high for flow readings. Some drift on pH. ",-74.17278,41.68722
"N","N","13-GUNK-0.4","B_13","GUNK","R_0.4",41.68722,-74.17278,NA,"","","7/24/2018","3:15 PM","7/24/2018 15:15","Emily Vail, Erin Lefkowitz","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",23.8,319.5,8.63,9.4,111,NA,"F","B",7,0,3,1,0,0,0,"Water_Clarity","Other","Very high water, could not measure flow. Secondary Variable influencing user perception high flows.",-74.17278,41.68722
"N","N","13-GUNK-0.4","B_13","GUNK","R_0.4",41.68722,-74.17278,NA,"","","7/10/2018","2:47 PM","7/10/2018 14:47","Emily Vail & Beth Roessler","WALLKILL","",NA,"","","","","Sun","Sun","X","DUP","Waded","Depth_Integrated","N",29.4,331.9,8.32,8.3,111,0.16,"A","A",1,0,3,2,0,0,0,"None","None","",-74.17278,41.68722
"N","N","13-GUNK_T35-0.2","B_13","GUNK_T35","R_0.2",41.439605,-74.538899,NA,"","","10/3/2018","0.475694444","10/3/2018 11:25","Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",16,150.2,7.79,7.8,80,0.07,"F","B",3,0,2,0,0,3,0,"Water_Clarity","Other","Small stream but highest we’ve sampled",-74.538899,41.439605
"N","N","13-GUNK_T35-0.2","B_13","GUNK_T35","R_0.2",41.439605,-74.538899,NA,"","","9/5/2018","11:07","9/5/2018 11:07","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",21.9,392.6,7.8,8.9,101,0.19,"F","B",2,0,4,1,0,0,0,"Periphyton","","",-74.538899,41.439605
"N","N","13-GUNK_T35-0.2","B_13","GUNK_T35","R_0.2",41.43961,-74.5389,NA,"","","8/16/2018","9:57","8/16/2018 9:57","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",20.6,247.9,8.1,6.7,77,0.12,"F","C",3,0,3,0,0,2,1,"","","pH drift from 8.10 to 7.76 over sampling time, turned off and on and holding at 7.68.  ditch flowing in downstream of where sample taken. ",-74.5389,41.43961
"N","N","13-GUNK_T35-0.2","B_13","GUNK_T35","R_0.2",41.439605,-74.538899,NA,"","","7/25/2018","11:40 AM","7/25/2018 11:40","Emily Vail, Megan Lung","WALLKILL","",NA,"","","","","Rain","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",21.1,345.9,8.01,6.4,73,NA,"F","B",4,0,3,0,0,0,0,"Water_Clarity","Other","Secondary Variable influencing user perception Headwater stream.",-74.538899,41.439605
"N","N","13-GUNK_T35-0.2","B_13","GUNK_T35","R_0.2",41.439605,-74.538899,NA,"","","7/11/2018","11:14 AM","7/11/2018 11:14","Emily Vail & Alex Curtze","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",21.4,587,7.67,3.9,49,0.28,"C","D",4,0,2,3,0,0,0,"Other","Water_Clarity","Too shallow to do depth integrated sample. Not enough water to swim, very low flow. Lots of big tadpoles. ",-74.538899,41.439605
"N","N","13-LGUN-6.0","B_13","LGUN","R_6.0",41.45587,-74.493797,NA,"","","10/3/2018","0.561805556","10/3/2018 13:29","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",18.3,209.9,7.67,7.5,82,0.1,"F","A",3,0,1,0,0,0,0,"Other","Water_Clarity","Not a lot of rocks, more like low gradient wetland stream. ",-74.493797,41.45587
"N","N","13-LGUN-6.0","B_13","LGUN","R_6.0",41.45587,-74.493797,NA,"","","9/5/2018","12:58","9/5/2018 12:58","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",24.5,258.9,7.73,9,107,0.12,"B","A",1,0,5,5,0,0,0,"Water_Clarity","","",-74.493797,41.45587
"N","N","13-LGUN-6.0","B_13","LGUN","R_6.0",41.45587,-74.4938,NA,"","","8/16/2018","12:44","8/16/2018 12:44","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",23.8,236.4,7.61,6.5,78,0.11,"F","C",2,0,6,4,0,0,4,"Macrophyte","Water_Clarity","Ditches and culvert pipes",-74.4938,41.45587
"N","N","13-MASO-0.2","B_13","MASO","R_0.2",41.43713472,-74.37251964,NA,"","","10/4/2018","8:36","10/4/2018 8:36","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-MASO-0.2-100418-R","13-MASO-0.2-100418-S","Clouds","Rain","X","Not_Sampled","Waded","Bottle","N",16.9,366.4,7.91,9.31,97.4,0.18,"D","C",4,0,1,0,0,2,1,"Water_Clarity","Trash","Next to large gravel pad/construction site. Very high flow. Sampled with pole. ",-74.37251964,41.43713472
"N","N","13-MASO-0.2","B_13","MASO","R_0.2",41.43765,-74.372867,NA,"","","9/6/2018","8:37:00","9/6/2018 8:37","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-MASO-0.2-090618-R","13-MASO-0.2-090618-S","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",23.1,867,8,9,106,0.43,"C","B",3,0,5,0,1,3,0,"Periphyton","Trash","",-74.372867,41.43765
"N","N","13-MASO-0.2","B_13","MASO","R_0.2",41.43765,-74.372867,NA,"","","8/15/2018","9:00:00","8/15/2018 9:00","Stoll,Other","WALLKILL","",NA,"","","","","Sun","Clouds","X","","Waded","Depth_Integrated","N",23,504.6,8.12,8.05,95,0.24,"D","D",6,0,1,0,0,5,0,"Trash","Water_Clarity","Close to golf course.",-74.372867,41.43765
"N","N","13-MASO-0.2","B_13","MASO","R_0.2",41.43765,-74.372867,NA,"","","7/25/2018","8:34:00","7/25/2018 8:34","Other,Stoll","WALLKILL","",NA,"","","","","Rain","Clouds","X","Not_Sampled","Waded","Bottle","N",23.6,674,7.83,7.9,94,0.33,"D","D",10,0,2,1,2,2,0,"Other","Water_Clarity","Location next golf links, road, and bridge limiting first degree recreation ",-74.372867,41.43765
"N","N","13-MASO-0.2","B_13","MASO","R_0.2",41.43765,-74.372867,NA,"","","7/11/2018","16:18:00","7/11/2018 16:18","Heitzman,Lojpersberger,Other,Wright","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",23.1,1180,8.33,8.72,103.3,0.59,"D","C",1,1,8,0,1,4,1,"Periphyton","Periphyton","Lots of periphyton with largely shelf bedrock substrate. Site borders maintenance area for golf course. ",-74.372867,41.43765
"N","N","13-MONH-4.1","B_13","MONH","R_4.1",41.42833,-74.42389,NA,"","","10/3/2018","0.628472222","10/3/2018 15:05","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",17.9,442,7.67,8.9,95,0.21,"E","D",3,0,3,1,6,8,0,"Odor","Trash","",-74.42389,41.42833
"N","N","13-MONH-4.1","B_13","MONH","R_4.1",41.42833,-74.42389,NA,"","","9/5/2018","14:09","9/5/2018 14:09","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",24.6,1096,7.68,9.5,118,0.54,"E","E",1,0,5,4,8,8,0,"Odor","Other","Water level 2nd variable. Some fish/crayfish. ",-74.42389,41.42833
"N","N","13-MONH-4.1","B_13","MONH","R_4.1",41.42833,-74.4239,NA,"","","8/16/2018","13:41","8/16/2018 13:41","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","EB_FB","Waded","Depth_Integrated","N",23.5,623,7.55,7.8,92,0.3,"E","D",9,0,6,4,3,8,0,"Water_Clarity","Macrophyte","Very milky time turbidity; light brown. Very hard to see even in shallow water. Unclear if odor is coming from STP or water. ",-74.4239,41.42833
"N","N","13-MONH-4.1","B_13","MONH","R_4.1",41.42833,-74.42389,NA,"","","7/25/2018","3:00 PM","7/25/2018 15:00","Emily Vail, Megan Lung","WALLKILL","",NA,"","","","","Rain","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",23.2,840,7.79,8.3,101,NA,"E","D",NA,NA,NA,NA,5,7,0,"","","was pouring at this site and not all info collected",-74.42389,41.42833
"N","N","13-MONH-4.1","B_13","MONH","R_4.1",41.42833,-74.42389,NA,"","","7/11/2018","2:10 PM","7/11/2018 14:10","Emily Vail & Alex Curtze","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",22.4,1341,7.41,6.1,71,0.67,"C","D",1,0,7,1,2,7,0,"Trash","Odor","Too shallow to do depth integrated sample. (I had put 0 for discharge pipes but I know there are stormwater outfalls in the area. Must not have seen them this time.) ",-74.42389,41.42833
"N","N","13-MONH-0.4","B_13","MONH","R_0.4",41.42416296,-74.38036385,NA,"","","10/4/2018","8:59","10/4/2018 8:59","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-MONH-0.4-100418-R","13-MONH-0.4-100418-S","Clouds","Rain","X","Not_Sampled","Waded","Bottle","N",16.5,444.8,7.86,9.53,98.5,0.21,"B","B",3,0,0,0,0,1,0,"None","None","High flow. Sampled with pole. ",-74.38036385,41.42416296
"N","N","13-MONH-0.4","B_13","MONH","R_0.4",41.42361,-74.38111,NA,"","","9/6/2018","9:30:00","9/6/2018 9:30","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-MONH-0.4-090618-R","13-MONH-0.4-090618-S","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",24.3,1076,8.1,8.5,103,0.53,"B","A",2,0,2,0,3,1,0,"Odor","None","STP smell
High conductivity ",-74.38111,41.42361
"N","N","13-MONH-0.4","B_13","MONH","R_0.4",41.42361,-74.38111,NA,"","","8/15/2018","9:33:00","8/15/2018 9:33","Stoll,Other","WALLKILL","",NA,"","","","","Sun","Clouds","X","Not_Sampled","Waded","Depth_Integrated","N",21.5,592,8.06,8.38,96.3,0.29,"C","B",7,0,2,0,0,3,0,"Trash","Water_Clarity","",-74.38111,41.42361
"N","N","13-MONH-0.4","B_13","MONH","R_0.4",41.42361,-74.38111,NA,"","","7/25/2018","9:32:00","7/25/2018 9:32","Other,Stoll","WALLKILL","",NA,"","","","","Rain","Clouds","X","Not_Sampled","Waded","Bottle","N",23.5,839,7.85,8,95,0.41,"D","D",10,NA,2,1,0,2,0,"Water_Clarity","Water_Clarity","High flow.",-74.38111,41.42361
"N","N","13-MONH-0.4","B_13","MONH","R_0.4",41.4236387,-74.38029344,NA,"","","7/11/2018","15:14:00","7/11/2018 15:14","Lojpersberger,Heitzman,Wright,Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",25.6,1329,8.3,7.2,89,0.66,"B","A",1,1,3,1,0,1,0,"Other","Other","Traffic
Nice little stream
Chemistry collected 10m above LARGE downed tree in stream",-74.38029344,41.4236387
"N","N","13-PKIL-0.4","B_13","PKIL","R_0.4",41.72528,-74.10472,NA,"","","10/2/2018","0.655555556","10/2/2018 15:44","Other","WALLKILL","",NA,"","","","","Rain","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",15.8,220.4,7.88,8.9,90,0.1,"F","A",7,NA,2,0,0,0,0,"Water_Clarity","Other","High flow",-74.10472,41.72528
"N","N","13-PKIL-0.4","B_13","PKIL","R_0.4",41.72528,-74.10472,NA,"","","9/6/2018","14:57","9/6/2018 14:57","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",25.9,467.6,8.27,11.3,140,0.22,"F","A",1,0,2,0,0,0,0,"Other","","Low flow",-74.10472,41.72528
"N","N","13-PKIL-0.4","B_13","PKIL","R_0.4",41.72528,-74.10472,NA,"","","8/15/2018","16:22:00","8/15/2018 16:22","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","EB_FB","Waded","Depth_Integrated","N",23.7,375.2,8.39,8.5,101,0.18,"F","A",3,0,4,1,NA,0,0,"None","","",-74.10472,41.72528
"N","N","13-PKIL-0.4","B_13","PKIL","R_0.4",41.72528,-74.10472,NA,"","","7/24/2018","4:55 PM","7/24/2018 16:55","Emily Vail, Erin Lefkowitz","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",24,540,8.44,8.9,106,NA,"F","B",6,0,3,0,0,0,0,"Water_Clarity","","",-74.10472,41.72528
"N","N","13-PKIL-0.4","B_13","PKIL","R_0.4",41.72528,-74.10472,NA,"","","7/10/2018","4:51 PM","7/10/2018 16:51","Emily Vail & Beth Roessler","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",24.9,400.2,8.24,7,85,0.19,"B","A",1,1,2,0,0,0,0,"Other","","Too shallow to do depth integrated sample. Not possible to swim, too small a stream.",-74.10472,41.72528
"X","","13-POCH-1.8","B_13","POCH","R_1.8",41.317902,-74.474664,NA,"","Access behind barn next to calf pen/silver shed. Follow pen om the left side and access river from behind. Received permission from property owner Tom Miller (07/24/2018).","8/14/2018","13:07:00","8/14/2018 13:07","Stoll,Other","WALLKILL","",NA,"","","","","Sun","Rain","X","","","Depth_Integrated","N",22.4,395.6,7.43,6.7,78,0.19,"D","D",10,0,7,0,10,2,0,"Odor","Water_Clarity","Site next to cow pen, desire to recreate significantly reduced ",-74.474664,41.317902
"N","N","13-QKER-0.9","B_13","QKER","R_0.9",41.32763471,-74.4159591,NA,"","","10/3/2018","14:47","10/3/2018 14:47","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-QKER-0.9-100318-R","13-QKER-0.9-100318-S","Sun","Rain","X","DUP","Waded","Bottle","N",17.8,340.5,7.03,7.35,77.9,0.16,"D","D",4,0,1,0,1,3,0,"Water_Clarity","Other","High flow. Sampled with pole. ",-74.4159591,41.32763471
"N","N","13-QKER-0.9","B_13","QKER","R_0.9",41.32722,-74.41639,NA,"","","9/5/2018","16:01:00","9/5/2018 16:01","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-QKER-0.9-090518-R","13-QKER-0.9-090518-S","","","X","Not_Sampled","Waded","Depth_Integrated","N",27.9,512,7.7,7.5,95,0.24,"E","C",5,1,3,1,5,2,0,"Odor","Water_Clarity","",-74.41639,41.32722
"N","N","13-QKER-0.9","B_13","QKER","R_0.9",41.32722,-74.41639,NA,"","","8/14/2018","14:01:00","8/14/2018 14:01","Other,Stoll","WALLKILL","",NA,"","","","","Rain","Rain","X","","Bridge","Pail","N",22.4,414.3,6.6,4.95,58.1,0.2,"E","D",9,0,0,0,6,3,0,"Water_Clarity","Odor","Too high to take flow.",-74.41639,41.32722
"N","N","13-QKER-0.9","B_13","QKER","R_0.9",41.32722,-74.41639,NA,"","","7/24/2018","15:45:00","7/24/2018 15:45","Other,Stoll","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Pail","N",29.9,660,7.66,6.7,88,0.32,"E","E",NA,9,NA,0,7,5,8,"Odor","Discharge/Pipes","Grabbed bucket for water chemistry from bridge.",-74.41639,41.32722
"N","N","13-QKER-0.9","B_13","QKER","R_0.9",41.3277278,-74.41616034,NA,"","","7/11/2018","11:18:00","7/11/2018 11:18","Heitzman,Lojpersberger,Wright,Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",23.8,713,7.7,5,61,0.35,"E","E",9,NA,6,2,6,2,0,"Odor","Water_Clarity","Pretty strong smell of septic/manure! Yum!
Crappy little stream",-74.41616034,41.3277278
"N","N","13-RIOG-0.7","B_13","RIOG","R_0.7",41.40115,-74.359233,NA,"","","10/4/2018","11:30","10/4/2018 11:30","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-RIOG-0.7-100418-R","13-RIOG-0.7-100418-S","Clouds","Rain","X","Not_Sampled","Waded","Bottle","N",17.7,490.1,7.19,5.96,63.6,0.25,"D","D",6,1,2,0,2,2,0,"Trash","Water_Clarity","",-74.359233,41.40115
"N","N","13-RIOG-0.7","B_13","RIOG","R_0.7",41.40115,-74.359233,NA,"","","9/6/2018","11:11:00","9/6/2018 11:11","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-RIOG-0.7-090618-R","13-RIOG-0.7-090618-S","Sun","Sun","X","EB_FB","Waded","Bottle","N",25.9,1047,7.6,8.6,108,0.52,"D","D",1,0,2,0,2,2,0,"Other","Trash","Brambles, trash, odor- just not pleasant even though next to walking path ",-74.359233,41.40115
"N","N","13-RIOG-0.7","B_13","RIOG","R_0.7",41.40115,-74.359233,NA,"","","8/14/2018","14:44:00","8/14/2018 14:44","Stoll,Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","","Waded","Depth_Integrated","N",23.2,693,7.28,5.23,62.1,0.34,"E","D",9,0,0,0,0,9,0,"Water_Clarity","Trash","",-74.359233,41.40115
"N","N","13-RIOG-0.7","B_13","RIOG","R_0.7",41.40115,-74.359233,NA,"","","7/25/2018","11:37:00","7/25/2018 11:37","Other,Stoll","WALLKILL","",NA,"","","","","Rain","Clouds","X","EB_FB","Waded","Bottle","N",24.1,749,7.22,5.8,71,0.36,"D","D",10,0,0,0,3,10,0,"Trash","Water_Clarity","Site looks like a dumpsite.",-74.359233,41.40115
"N","X","13-RIOG-0.7","B_13","RIOG","R_0.7",41.40115,-74.359233,NA,"","Park near trailhead. Walk up trail to clearing on left to access site. ","7/11/2018","12:55:00","7/11/2018 12:55","Heitzman,Lojpersberger,Wright","WALLKILL","",NA,"","","","","Sun","Clouds","X","","Waded","Bottle","N",27.1,1352,8.04,8.81,112,0.67,"E","D",4,2,3,2,1,7,0,"Trash","Water_Clarity","Lots of snags, downed logs",-74.359233,41.40115
"N","N","13-RUTG-1.5","B_13","RUTG","R_1.5",41.33703112,-74.48758221,NA,"","","10/3/2018","13:04","10/3/2018 13:04","Lemley,Lojpersberger,Other","WALLKILL","",NA,"","","13-RUTG-1.5-100318-R","13-RUTG-1.5-100318-S","Sun","Rain","X","Not_Sampled","Waded","Bottle","N",16.9,202.5,7.42,8.88,92.5,0.1,"B","B",5,0,1,0,0,0,NA,"Water_Clarity","None","Very high flow. Sampled upstream of bridge due to bridge construction. Used pole for grab. ",-74.48758221,41.33703112
"N","N","13-RUTG-1.5","B_13","RUTG","R_1.5",41.335792,-74.487986,NA,"","","9/5/2018","13:42:00","9/5/2018 13:42","Heitzman,Lojpersberger,Woltmann","WALLKILL","",NA,"","","13-RUTG-1.5-090518-R","13-RUTG-1.5-090518-S","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",25.6,433,8.1,8.8,109,0.21,"B","A",3,0,1,2,0,3,0,"Trash","None","Bridge is now down Took sample &flow above old bridge about 60m",-74.487986,41.335792
